Designator,Mid X,Mid Y,Rotation,Layer
C1,82.268,-57.617,0.0,top
C2,81.739,-59.944,180.0,top
C3,81.739,-62.484,180.0,top
C4,90.043,-64.77,270.0,top
C6,88.6445,-44.25,0.0,top
C7,85.862,-46.4,180.0,top
C8,82.8445,-47.4,90.0,top
D2,78.929,-42.2585,90.0,top
D3,80.3445,-47.25,90.0,top
J1,80.899,-35.814,90.0,top
J2,101.916,-58.149,90.0,top
J3,68.326,-59.436,180.0,top
R11,93.862,-54.8,90.0,top
R12,93.8795,-46.6875,270.0,top
R4,81.924,-42.2985,90.0,top
R9,75.7955,-54.356,180.0,top
RV1,74.93,-59.563,180.0,top
U1,88.3945,-50.75,270.0,top
